Job,Avg Total Commits,Avg Max (semaine),Avg Mean (semaine),Peak Week,Peak Value,Present in N Projects
Frontend Engineer,1041.3,220.0,20.03,M9,220.0,3
Mixed / support,936.0,134.0,18.0,M3,134.0,1
Backend Engineer,775.0,65.3,14.9,M5,65.3,3
Fullstack Engineer,407.7,78.7,7.84,M0,78.7,3
Generalist,132.0,33.0,2.54,M0,33.0,1
Data Engineer,72.0,29.0,1.38,M0,29.0,2
Data Scientist,51.3,8.3,0.99,M0,8.3,3
Data engineering,26.0,13.0,0.5,M2,13.0,1
Backend-oriented,18.0,9.0,0.35,M3,9.0,1
Maintainer,12.5,6.0,0.24,M0,6.0,2
Technical Writer,11.0,4.0,0.21,M0,4.0,2
QA / Test Engineer,8.0,8.0,0.15,M8,8.0,1
Unknown,1.0,1.0,0.02,M1,1.0,1
