path,extension,size_bytes
backend\constants\festival_award_constants.csv,.csv,151262
database\alembic.ini,.ini,3867
database\database.py,.py,485
database\Dockerfile,,25
database\README.md,.md,7060
database\alembic\env.py,.py,2361
database\alembic\README,,38
database\alembic\script.py.mako,.mako,717
database\alembic\versions\165c9a285a71_add_allocine_name_to_roles.py,.py,911
database\alembic\versions\1b85fcd5a62e_create_trailer_characters_table.py,.py,1446
database\alembic\versions\230802dd9cec_create_award_nominations_table.py,.py,1469
database\alembic\versions\2eedb52b923f_create_film_country_budget_allocations_.py,.py,1285
database\alembic\versions\4bd9e4bb5bc3_add_inclusive_name_to_roles.py,.py,914
database\alembic\versions\4ccb0b5574a8_enable_unaccent_extension.py,.py,675
database\alembic\versions\52f50b4aed4f_create_festivals_table.py,.py,1241
database\alembic\versions\6352fe8a8250_add_attributes_to_festival_awards.py,.py,1410
database\alembic\versions\6df58c273a80_create_festival_awards_table.py,.py,1140
database\alembic\versions\70d997a5cc43_create_posters_table.py,.py,1112
database\alembic\versions\8babdd0aeb7b_create_genres_table.py,.py,1001
database\alembic\versions\9acf3149fef3_add_additional_attributes_to_films.py,.py,1641
database\alembic\versions\9cf40267d373_create_roles_table.py,.py,1039
database\alembic\versions\a41a851372bf_create_films_genres_table.py,.py,1154
database\alembic\versions\a932df5ac027_add_index_on_films_original_names.py,.py,1279
database\alembic\versions\b0c6222108ff_create_credit_holders_table.py,.py,1430
database\alembic\versions\b50425a00467_create_countries_table.py,.py,1024
database\alembic\versions\bf1b7d423a36_adjust_several_film_attributes.py,.py,1898
database\alembic\versions\c6fb92e4e96f_create_poster_characters_table.py,.py,1374
database\alembic\versions\d471dd7a5deb_create_trailers_table.py,.py,1106
database\alembic\versions\d5ecbb43840b_create_film_credits_table.py,.py,1353
database\alembic\versions\e9f855b8ad1c_create_films_table.py,.py,1817
database\data\.gitignore,,17
database\data\README.md,.md,3113
database\data\scraping_browser.py,.py,2611
database\data\allocine\allocine_film_enricher.py,.py,4982
database\data\allocine\allocine_film_matcher.py,.py,3855
database\data\allocine\allocine_matches_enriched.csv,.csv,11010118
database\data\allocine\allocine_runner.py,.py,1627
database\data\allocine\allocine_scraper.py,.py,9260
database\data\cnc\cnc_constants.py,.py,5023
database\data\cnc\dataset5050_cnc_films_agrees_2003_2024.xlsx,.xlsx,799030
database\data\cnc\extract_cnc_data_from_excel.py,.py,7441
database\data\machine_learning_predictions\poster_predictions.csv,.csv,153205
database\data\machine_learning_predictions\trailer_predictions.csv,.csv,360015
database\data\mubi\films_all_awards.csv,.csv,3177248
database\data\mubi\mubi_all_festival_films_to_csv.py,.py,4649
database\data\mubi\mubi_all_film_awards_to_csv.py,.py,4681
database\data\mubi\mubi_page_scraper.py,.py,6285
database\data\mubi\mubi_scraping_sandbox.ipynb,.ipynb,5288
database\data\old_db_init\0_init_database.sql,.sql,2637
database\data\old_db_init\1_insert_festivals.sql,.sql,11801
database\data\old_db_init\2_insert_films.sql,.sql,21735
database\data\old_db_init\3_insert_cheffes_postes.sql,.sql,261891
database\data\old_db_init\4_insert_film_cheffes_postes.sql,.sql,41596
database\data\old_db_init\getdata.py,.py,3605
database\data\sample\sample.sql,.sql,42359
database\data\sample\seed_sample.py,.py,1202
database\models\award_nomination.py,.py,855
database\models\country.py,.py,459
database\models\credit_holder.py,.py,696
database\models\festival.py,.py,611
database\models\festival_award.py,.py,645
database\models\film.py,.py,2386
database\models\film_country_budget_allocation.py,.py,616
database\models\film_credit.py,.py,714
database\models\film_genre.py,.py,312
database\models\genre.py,.py,379
database\models\poster.py,.py,500
database\models\poster_character.py,.py,651
database\models\role.py,.py,518
database\models\trailer.py,.py,498
database\models\trailer_character.py,.py,713
database\models\__init__.py,.py,876
database\notebooks\1_parsing_dataset_festival.ipynb,.ipynb,7308
database\notebooks\2_parsing_dataset_cheffes_postes.ipynb,.ipynb,6944
database\notebooks\3_insert_tmdb_data.ipynb,.ipynb,6045
database\notebooks\4_parse_dataset_cnc.ipynb,.ipynb,13329
database\notebooks\5_parse_dataset_cesars.ipynb,.ipynb,1355
database\notebooks\cleaning_existing_datasets.ipynb,.ipynb,43259
database\notebooks\exploration.ipynb,.ipynb,5135
database\notebooks\Testing Bechdelai librairy.ipynb,.ipynb,80106
database\seed\seed_allocine_movies_details.py,.py,5544
database\seed\seed_cnc_movies.py,.py,3627
database\seed\seed_film_awards.py,.py,3350
database\seed\seed_poster_predictions.py,.py,2734
database\seed\seed_trailer_predictions.py,.py,2881
database\seed\__init__.py,.py,0
database\utils\matching.py,.py,5410
frontend\components.json,.json,448
frontend\package.json,.json,1870
frontend\tsconfig.json,.json,737
frontend\src\components\ui\drawer.tsx,.tsx,4204
frontend\src\locales\fr-FR.json,.json,2265
