competition,stratum,ref,score_total_100,A_structure_pipeline,B_modularite,C_reproductibilite,D_lisibilite,E_hygiene,json_path
cafa-6-protein-function-prediction,top_1%,shrey213/cafa6solution,70.0,15,15,10,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\cafa-6-protein-function-prediction\top_1%\shrey213__cafa6solution.json
cafa-6-protein-function-prediction,top_1%,ymuroya47/cafa-6-goa-prott5-ensemble-0-370,80.0,20,15,10,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\cafa-6-protein-function-prediction\top_1%\ymuroya47__cafa-6-goa-prott5-ensemble-0-370.json
cafa-6-protein-function-prediction,top_10%,wasiqaliyasir/cafa-quick-submission-0-375,75.0,20,20,15,15,5,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\cafa-6-protein-function-prediction\top_10%\wasiqaliyasir__cafa-quick-submission-0-375.json
cafa-6-protein-function-prediction,top_10%,wasiqaliyasir/quick-direct-prediction-using-cafa6,50.0,10,15,10,5,10,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\cafa-6-protein-function-prediction\top_10%\wasiqaliyasir__quick-direct-prediction-using-cafa6.json
csiro-biomass,p40_50,taharf/biomass-challenge-training-notebook,95.0,20,20,20,15,20,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\csiro-biomass\p40_50\taharf__biomass-challenge-training-notebook.json
csiro-biomass,top_1%,mattiaangeli/csiro-convnext2,75.0,15,20,15,10,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\csiro-biomass\top_1%\mattiaangeli__csiro-convnext2.json
csiro-biomass,top_1%,mattiaangeli/csiro-swinv2,75.0,15,20,15,10,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\csiro-biomass\top_1%\mattiaangeli__csiro-swinv2.json
csiro-biomass,top_1%,mattiaangeli/eva02-inference,75.0,15,20,15,10,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\csiro-biomass\top_1%\mattiaangeli__eva02-inference.json
home-data-for-ml-course,top_1%,alokeveermondal/catboost-regressor-mae-13776-using-pipelines,40.0,10,10,10,5,5,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\home-data-for-ml-course\top_1%\alokeveermondal__catboost-regressor-mae-13776-using-pipelines.json
home-data-for-ml-course,top_1%,dumarchie/xgboost-hpo-with-optuna,90.0,20,15,20,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\home-data-for-ml-course\top_1%\dumarchie__xgboost-hpo-with-optuna.json
house-prices-advanced-regression-techniques,p40_50,maximendacleu/house-prices-prediction,80.0,20,10,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\house-prices-advanced-regression-techniques\p40_50\maximendacleu__house-prices-prediction.json
house-prices-advanced-regression-techniques,p40_50,thol123/lpt-13-01-2026,35.0,10,5,10,5,5,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\house-prices-advanced-regression-techniques\p40_50\thol123__lpt-13-01-2026.json
house-prices-advanced-regression-techniques,top_10%,eu1234/cv-score-predict-categoryembedding-houses-prices,80.0,15,20,15,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\house-prices-advanced-regression-techniques\top_10%\eu1234__cv-score-predict-categoryembedding-houses-prices.json
hull-tactical-market-prediction,p40_50,hausch11/hull-tactical-exp-02-inference-server,85.0,20,15,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\hull-tactical-market-prediction\p40_50\hausch11__hull-tactical-exp-02-inference-server.json
hull-tactical-market-prediction,p40_50,lunacyindigo/marketprediction2025,75.0,15,20,15,10,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\hull-tactical-market-prediction\p40_50\lunacyindigo__marketprediction2025.json
hull-tactical-market-prediction,p40_50,sammas12312/12-13-2025-hull-tactical-grind,55.0,10,10,15,10,10,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\hull-tactical-market-prediction\p40_50\sammas12312__12-13-2025-hull-tactical-grind.json
hull-tactical-market-prediction,p40_50,sunwoobang/mlp4-nv2,80.0,20,15,15,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\hull-tactical-market-prediction\p40_50\sunwoobang__mlp4-nv2.json
hull-tactical-market-prediction,top_1%,abhinavsharma0706/hull-2,70.0,15,15,15,10,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\hull-tactical-market-prediction\top_1%\abhinavsharma0706__hull-2.json
hull-tactical-market-prediction,top_1%,wasiqaliyasir/increase-public-lb-optimization,60.0,15,15,5,15,10,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\hull-tactical-market-prediction\top_1%\wasiqaliyasir__increase-public-lb-optimization.json
hull-tactical-market-prediction,top_1%,xxxxyyyy80008/hull-tactical-full-eda,85.0,20,15,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\hull-tactical-market-prediction\top_1%\xxxxyyyy80008__hull-tactical-full-eda.json
hull-tactical-market-prediction,top_10%,jaswanth7722/hull-tactical,60.0,15,15,10,10,10,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\hull-tactical-market-prediction\top_10%\jaswanth7722__hull-tactical.json
playground-series-s6e1,top_1%,datasciencegrad/s6e1-hill-climbing-and-ridgecv,65.0,15,15,10,15,10,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\playground-series-s6e1\top_1%\datasciencegrad__s6e1-hill-climbing-and-ridgecv.json
playground-series-s6e1,top_1%,datasciencegrad/s6e1-student-test-scores-wb,90.0,20,20,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\playground-series-s6e1\top_1%\datasciencegrad__s6e1-student-test-scores-wb.json
playground-series-s6e1,top_1%,manasi197/ps6e1-meta-ensemble,85.0,20,15,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\playground-series-s6e1\top_1%\manasi197__ps6e1-meta-ensemble.json
playground-series-s6e1,top_1%,nina2025/ps-s6e1-hb32g,45.0,5,15,10,5,10,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\playground-series-s6e1\top_1%\nina2025__ps-s6e1-hb32g.json
playground-series-s6e1,top_1%,utaazu/s6e1-tobit-xgboost-theoretical-implementation,90.0,20,20,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\playground-series-s6e1\top_1%\utaazu__s6e1-tobit-xgboost-theoretical-implementation.json
recodai-luc-scientific-image-forgery-detection,top_1%,aitbekovalibek/dinov2-unet-ensemble,90.0,20,20,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\recodai-luc-scientific-image-forgery-detection\top_1%\aitbekovalibek__dinov2-unet-ensemble.json
recodai-luc-scientific-image-forgery-detection,top_1%,opencv411/try-ensemble,85.0,15,20,20,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\recodai-luc-scientific-image-forgery-detection\top_1%\opencv411__try-ensemble.json
santa-2025,p40_50,kirkdco/kmer-aspect-ratio-survey,95.0,20,20,20,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\santa-2025\p40_50\kirkdco__kmer-aspect-ratio-survey.json
santa-2025,top_10%,hossam82/eazy-optimizer,65.0,15,15,10,10,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\santa-2025\top_10%\hossam82__eazy-optimizer.json
santa-2025,top_10%,hossam82/santa-submission-bbox3,80.0,15,20,15,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\santa-2025\top_10%\hossam82__santa-submission-bbox3.json
santa-2025,top_10%,hossam82/santa-tree-high-score,70.0,15,15,15,10,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\santa-2025\top_10%\hossam82__santa-tree-high-score.json
santa-2025,top_10%,nikitakuznetsof/just-luck,70.0,15,15,15,10,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\santa-2025\top_10%\nikitakuznetsof__just-luck.json
santa-2025,top_10%,snnclsr/santa-tree-challenge,85.0,20,20,15,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\santa-2025\top_10%\snnclsr__santa-tree-challenge.json
spaceship-titanic,p40_50,slice3984/spaceship-titanic,70.0,15,10,15,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\spaceship-titanic\p40_50\slice3984__spaceship-titanic.json
titanic,top_1%,djenkivanov/top-5-simple-neural-network-solution,85.0,20,15,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\titanic\top_1%\djenkivanov__top-5-simple-neural-network-solution.json
titanic,top_1%,n3onnhowever/titanic-cv-v2,90.0,20,20,20,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\titanic\top_1%\n3onnhowever__titanic-cv-v2.json
titanic,top_1%,n3onnhowever/titanic-cv-v3,85.0,15,20,20,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\titanic\top_1%\n3onnhowever__titanic-cv-v3.json
titanic,top_10%,vismayakatkar/vismaya-k,75.0,15,15,15,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\titanic\top_10%\vismayakatkar__vismaya-k.json
