competition,stratum,n,mean
cafa-6-protein-function-prediction,top_1%,2,75.0
cafa-6-protein-function-prediction,top_10%,2,62.5
csiro-biomass,p40_50,1,95.0
csiro-biomass,top_1%,3,75.0
home-data-for-ml-course,top_1%,2,65.0
house-prices-advanced-regression-techniques,p40_50,2,57.5
house-prices-advanced-regression-techniques,top_10%,1,80.0
hull-tactical-market-prediction,p40_50,4,73.75
hull-tactical-market-prediction,top_1%,3,71.67
hull-tactical-market-prediction,top_10%,1,60.0
playground-series-s6e1,top_1%,5,75.0
recodai-luc-scientific-image-forgery-detection,top_1%,2,87.5
santa-2025,p40_50,1,95.0
santa-2025,top_10%,5,74.0
spaceship-titanic,p40_50,1,70.0
titanic,top_1%,3,86.67
titanic,top_10%,1,75.0
