Chart,stars,days_ago,origin,code_smells,total_lines,total_files,ratio
argo-cd,782,3,entreprise,29,35876,131,0.0008083398372170811
kured,41,121,entreprise,13,740,13,0.01756756756756757
prom-label-proxy,0,24,entreprise,16,943,14,0.016967126193001062
prometheus-json-exporter,3,150,commu,13,662,12,0.019637462235649546
authorino-operator,0,90,entreprise,4,6191,3,0.0006460991762235503
harbor,248,30,entreprise,41,7641,69,0.005365789818086638
kube-prometheus-stack,1160,3,entreprise,63,96247,208,0.0006545658565981277
open-feature-operator,9,96,commu,11,263,4,0.04182509505703422
cert-manager-csi-driver-spiffe,0,26,entreprise,4,862,12,0.004640371229698376
backstage,38,63,entreprise,39,1336,29,0.029191616766467067
meshery,16,4,commu,42,4323,83,0.009715475364330326
prometheus-snmp-exporter,10,0.16,commu,19,1061,20,0.017907634307257305
jaeger,73,0.5,commu,22,1934,14,0.011375387797311272
capsule,3,17,commu,31,7482,41,0.004143277198609997
prometheus-operator-crds,31,26,entreprise,13,74611,13,0.00017423704279529828
openebs-crds,38,0.1,entreprise,5,1082,5,0.0046210720887245845
prometheus-conntrack-stats-exporter,0,14,commu,5,122,3,0.040983606557377046
telepresence-oss,9,6,entreprise,16,2279,18,0.007020623080298377
google-cas-issuer,1,26,entreprise,4,759,10,0.005270092226613966
openfga,16,32,entreprise,28,1408,13,0.019886363636363636
cert-manager,920,27,entreprise,19,16776,48,0.0011325703385789223
perses,2,27,commu,26,1657,19,0.015691007845503924
rook-ceph,46,30,entreprise,20,18189,14,0.0010995656715597339
rook-ceph-cluster,26,31,entreprise,37,2453,20,0.015083571137382797
argo-rollouts,75,90,entreprise,19,18382,31,0.0010336198455010337
cilium,162,34,entreprise,223,16072,138,0.013875062220009955
opencost,20,34,entreprise,22,2313,26,0.009511456982274102
kuadrant-operator,1,60,entreprise,5,11791,3,0.0004240522432363667
prometheus-node-exporter,51,32,entreprise,34,1648,22,0.02063106796116505
limitador-operator,0,90,entreprise,2,1661,3,0.0012040939193257074
argo-events,47,30,entreprise,10,1601,21,0.006246096189881324
ztunnel,15,14,entreprise,18,886,23,0.020316027088036117
tetragon,11,78,entreprise,17,10398,25,0.0016349297941911907
argocd-apps,93,5,entreprise,13,823,14,0.015795868772782502
alertmanager-snmp-notifier,0,150,commu,13,621,13,0.020933977455716585
linstor-cluster,2,90,entreprise,3,903,14,0.0033222591362126247
prometheus-pushgateway,29,32,entreprise,45,1301,33,0.034588777863182166
dns-operator,0,90,entreprise,2,1053,3,0.001899335232668566
alertmanager,52,21,entreprise,21,1220,15,0.01721311475409836
capsule-proxy,0,27,commu,31,2271,29,0.013650374284456186
ambient,6,14,entreprise,9,46,2,0.1956521739130435
prometheus-blackbox-exporter,75,26,entreprise,27,1321,25,0.02043906131718395
argocd-image-updater,58,13,entreprise,21,1855,19,0.011320754716981131
gateway,71,14,entreprise,18,975,25,0.018461538461538463
linstor-affinity-controller,1,180,entreprise,12,540,8,0.022222222222222223
prometheus-adapter,39,60,commu,18,1177,26,0.015293118096856415
microcks,5,28,commu,9,2862,12,0.0031446540880503146
policy-reporter,25,0.4,entreprise,52,8309,67,0.006258274160548803
istiod,129,14,entreprise,29,5100,50,0.005686274509803921
kyverno,118,38,entreprise,43,95113,117,0.000452093825239452
cert-manager-csi-driver,7,26,entreprise,7,569,8,0.012302284710017574
cert-manager-istio-csr,4,26,entreprise,8,966,19,0.008281573498964804
istio-cni,17,14,entreprise,19,1098,27,0.017304189435336976
base,76,14,entreprise,19,18389,23,0.0010332263853390614
artifact-hub,93,94,commu,19,1826,22,0.0104052573932092
prometheus,527,4,entreprise,32,3045,36,0.010509031198686371
keptn,4,300,entreprise,7,165,2,0.04242424242424243
kyverno-policies,21,33,entreprise,8,1923,27,0.004160166406656267
argo-workflows,137,27,entreprise,37,156979,56,0.0002357003166028577
headlamp,38,18,entreprise,33,3997,49,0.00825619214410808
trust-manager,18,26,entreprise,14,1709,16,0.008191925102399064
gadget,10,33,commu,5,648,8,0.007716049382716049
