Période,Projet,Note moyenne test,ICC test,Interprétation ICC test,Note moyenne documentation,ICC documentation,Interprétation ICC documentation
Avant GenAI,offseason_missiontransition_categorisation,30.75,0.749,moderate,63.75,0.959,excellent
Avant GenAI,batch4_diafoirus_fleming,0.5,0.333,poor,25.25,0.925,excellent
Avant GenAI,website2022,5.75,-0.263,poor,62.5,0.832,good
Avant GenAI,batch5_phenix_happymeal,31.5,0.808,good,53.5,0.77,good
Pendant GenAI,batch11_cartovegetation,0.75,0.267,poor,53.25,0.932,excellent
Pendant GenAI,bechdelai,45.25,0.818,good,69.0,0.843,good
Pendant GenAI,protectclimateactivists,0.75,0.267,poor,30.25,0.851,good
Pendant GenAI,offseason_ogre,23.25,0.172,poor,67.25,0.864,good
Après GenAI,13_ia_financement,11.5,0.245,poor,79.5,0.83,good
Après GenAI,13_democratiser_sobriete,52.5,0.8,good,66.25,0.731,moderate
Après GenAI,14_PrixChangementClimatique,0.75,0.267,poor,29.75,0.832,good
Après GenAI,shiftdataportal,36.0,0.869,good,41.0,0.765,good
